Autopick
Version 0.11
"See slides for hand base, hand coordinates"
HandX,Y,Z,RX,RY,RZ,#Tool,WorkX,Y,Z,RX,RY,RZ,#Model,HandRotmat4
-38.6565361023,22.9915084839,-9.49161434174,-90.0000013284,-0.0,-114.617199569,T0,0,0,0,0,0,0,M0,"-0.416553705931,-0.909111082554,0.0,0.0,-2.10771560205e-08,9.65752988691e-09,-1.0,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-38.6565361023,22.9915084839,-9.49161434174,1.0"
-38.6565361023,22.9915084839,-9.49161434174,-90.0000018786,45.0000008208,-114.617199679,T0,0,0,0,0,0,0,M0,"-0.294547945261,-0.642838597298,-0.707106769085,0.0,0.294547915459,0.642838597298,-0.707106769085,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-38.6565361023,22.9915084839,-9.49161434174,1.0"
-38.6565361023,22.9915084839,-9.49161434174,117.941310742,89.999997165,93.3241127051,T0,0,0,0,0,0,0,M0,"-2.8690152476e-09,4.93960357062e-08,-1.0,0.0,0.416553705931,0.909111082554,4.37113882867e-08,0.0,0.909111022949,-0.416553676128,-2.31843557685e-08,0.0,-38.6565361023,22.9915084839,-9.49161434174,1.0"
-38.6565361023,22.9915084839,-9.49161434174,90.0000018786,45.0000013238,65.3828025164,T0,0,0,0,0,0,0,M0,"0.294547915459,0.642838597298,-0.707106769085,0.0,0.294547945261,0.642838597298,0.707106769085,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-38.6565361023,22.9915084839,-9.49161434174,1.0"
-38.6565361023,22.9915084839,-9.49161434174,90.0000013284,-5.00895625533e-06,65.3828004313,T0,0,0,0,0,0,0,M0,"0.416553705931,0.909111082554,8.74227765735e-08,0.0,-1.53391255253e-08,-8.91345450782e-08,1.0,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-38.6565361023,22.9915084839,-9.49161434174,1.0"
-38.6565361023,22.9915084839,-9.49161434174,90.0000018786,-44.9999957077,65.3828001375,T0,0,0,0,0,0,0,M0,"0.294547975063,0.642838656902,0.70710670948,0.0,-0.294547915459,-0.642838537693,0.70710682869,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-38.6565361023,22.9915084839,-9.49161434174,1.0"
-38.6565361023,22.9915084839,-9.49161434174,-152.780963263,-89.9999985062,-51.8362368384,T0,0,0,0,0,0,0,M0,"1.61098032692e-08,-2.04985717289e-08,1.0,0.0,-0.416553705931,-0.909111082554,-1.19248806385e-08,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-38.6565361023,22.9915084839,-9.49161434174,1.0"
-38.6565361023,22.9915084839,-9.49161434174,-90.0000018786,-45.0000110471,-114.617199312,T0,0,0,0,0,0,0,M0,"-0.294547885656,-0.642838478088,0.707106888294,0.0,-0.294548004866,-0.642838716507,-0.707106649876,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-38.6565361023,22.9915084839,-9.49161434174,1.0"
-43.0679931641,13.3636817932,-13.8926687241,-90.0000013284,-0.0,-114.617199569,T0,0,0,0,0,0,0,M0,"-0.416553705931,-0.909111082554,0.0,0.0,-2.10771560205e-08,9.65752988691e-09,-1.0,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-43.0679931641,13.3636817932,-13.8926687241,1.0"
-43.0679931641,13.3636817932,-13.8926687241,-90.0000018786,45.0000008208,-114.617199679,T0,0,0,0,0,0,0,M0,"-0.294547945261,-0.642838597298,-0.707106769085,0.0,0.294547915459,0.642838597298,-0.707106769085,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-43.0679931641,13.3636817932,-13.8926687241,1.0"
-43.0679931641,13.3636817932,-13.8926687241,117.941310742,89.999997165,93.3241127051,T0,0,0,0,0,0,0,M0,"-2.8690152476e-09,4.93960357062e-08,-1.0,0.0,0.416553705931,0.909111082554,4.37113882867e-08,0.0,0.909111022949,-0.416553676128,-2.31843557685e-08,0.0,-43.0679931641,13.3636817932,-13.8926687241,1.0"
-43.0679931641,13.3636817932,-13.8926687241,90.0000018786,45.0000013238,65.3828025164,T0,0,0,0,0,0,0,M0,"0.294547915459,0.642838597298,-0.707106769085,0.0,0.294547945261,0.642838597298,0.707106769085,0.0,0.909111082554,-0.416553705931,-2.31843575449e-08,0.0,-43.0679931641,13.3636817932,-13.8926687241,1.0"
